ba,node_b,bin,cap_mw,marginal_$_per_MW,marginal_$_per_kW,cum_cap_mw_node
p63,b003296,11,0.9112163710311766,2647143.4430617127,2647.143443061713,30.562989611607623
p63,b003296,12,2.1456098645032338,13324546.040327424,13324.546040327425,32.708599476110855
p63,b003316,8,0.3724155514144056,1455670.1695349184,1455.6701695349184,0.3724155514144056
p63,b003419,0,106.86183223850608,20387.568418505747,20.387568418505747,106.86183223850608
p63,b003419,1,36.46423605187482,68201.60623169896,68.20160623169896,143.3260682903809
p63,b003419,8,15.21420248386186,1455670.1695349184,1455.6701695349184,158.54027077424277
p63,b003419,9,34.32618463684873,1546788.41881199,1546.78841881199,192.8664554110915
p63,b003419,11,0.0341175773684199,2647143.4430617127,2647.143443061713,192.9005729884599
p63,b003419,12,0.650136814834836,13324546.040327424,13324.546040327425,193.55070980329475
p63,b003452,0,84.70066264756272,20387.568418505747,20.387568418505747,84.70066264756272
p63,b003452,1,5.064333145548176,68201.60623169896,68.20160623169896,89.7649957931109
p63,b003452,2,102.5538174976466,116549.41439949298,116.54941439949296,192.3188132907575
p63,b003452,4,207.3035788206077,230844.972823203,230.844972823203,399.62239211136523
p63,b003452,5,121.74381844017309,294196.8424194549,294.19684241945487,521.3662105515383
p63,b003452,8,0.3724155514144056,1455670.1695349184,1455.6701695349184,521.7386261029527
p63,b003554,2,41.6895867688265,116549.41439949298,116.54941439949296,41.6895867688265
p63,b003554,4,16.512988948531444,230844.972823203,230.844972823203,58.202575717357945
p63,b003554,8,0.3724155514144056,1455670.1695349184,1455.6701695349184,58.57499126877235
p63,b003554,9,6.424139014004933,1546788.41881199,1546.78841881199,64.99913028277729
p63,b003554,11,77.84419357760046,2647143.4430617127,2647.143443061713,142.84332386037775
p63,b003554,12,10.116413188411032,13324546.040327424,13324.546040327425,152.95973704878878
p63,b003564,8,51.59749228942657,1455670.1695349184,1455.6701695349184,51.59749228942657
p63,b003564,9,8.316912639932719,1546788.41881199,1546.78841881199,59.914404929359286
p63,b003564,11,0.0358543855693085,2647143.4430617127,2647.143443061713,59.950259314928594
p63,b003596,2,83.07487865820673,116549.41439949298,116.54941439949296,83.07487865820673
p63,b003596,8,0.3724155514143914,1455670.1695349184,1455.6701695349184,83.44729420962112
p63,b003747,2,34.52916357544992,116549.41439949298,116.54941439949296,34.52916357544992
p63,b003747,4,26.097209932370543,230844.972823203,230.844972823203,60.62637350782046
p63,b003747,8,0.3724155514143914,1455670.1695349184,1455.6701695349184,60.99878905923485
p63,b003747,11,9.467428699045405,2647143.4430617127,2647.143443061713,70.46621775828027
p63,b003754,4,212.57408958863945,230844.972823203,230.844972823203,212.57408958863945
p63,b003754,6,325.24365753215847,401464.1098962409,401.4641098962409,537.8177471207979
p63,b003754,7,120.26982301985234,558476.2277283575,558.4762277283576,658.0875701406503
p63,b003754,8,94.6608617040169,1455670.1695349184,1455.6701695349184,752.7484318446672
p63,b003765,2,67.55856711919724,116549.41439949298,116.54941439949296,67.55856711919724
p63,b003765,4,41.55076204669282,230844.972823203,230.844972823203,109.10932916589005
p63,b003765,8,0.3724155514143914,1455670.1695349184,1455.6701695349184,109.48174471730444
p63,b003770,0,14.031261348652787,20387.568418505747,20.387568418505747,14.031261348652787
p63,b003770,6,23.60653878927445,401464.1098962409,401.4641098962409,37.637800137927236
p63,b003770,8,0.3724155514143914,1455670.1695349184,1455.6701695349184,38.01021568934163
p63,b003871,7,28.064457278053943,558476.2277283575,558.4762277283576,28.064457278053943
p63,b003871,8,0.3724155514144056,1455670.1695349184,1455.6701695349184,28.43687282946835
p63,b003892,6,25.3270666435996,401464.1098962409,401.4641098962409,25.3270666435996
p63,b003892,8,0.3724155514144056,1455670.1695349184,1455.6701695349184,25.699482195014006
p63,b003892,11,43.98362838052434,2647143.4430617127,2647.143443061713,69.68311057553834
p63,b003892,12,0.0017114902198045,13324546.040327424,13324.546040327425,69.68482206575814
p63,b003906,0,17.933019074673997,20387.568418505747,20.387568418505747,17.933019074673997
p63,b003906,2,913.2155375487936,116549.41439949298,116.54941439949296,931.1485566234676
p63,b003906,8,0.3724155514144056,1455670.1695349184,1455.6701695349184,931.520972174882
p63,b003908,2,31.118042608065306,116549.41439949298,116.54941439949296,31.118042608065306
p63,b003908,8,0.3724155514143914,1455670.1695349184,1455.6701695349184,31.490458159479697
p63,b003970,1,88.58460854000865,68201.60623169896,68.20160623169896,88.58460854000865
p63,b003970,7,32.35767511828812,558476.2277283575,558.4762277283576,120.94228365829676
p63,b003970,8,5.298954983244582,1455670.1695349184,1455.6701695349184,126.24123864154134
p63,b003970,9,12.215794082876153,1546788.41881199,1546.78841881199,138.4570327244175
p63,b003970,11,15.87233798833628,2647143.4430617127,2647.143443061713,154.32937071275379
p63,b003973,2,0.5482199303313646,116549.41439949298,116.54941439949296,0.5482199303313646
p63,b003973,4,0.5322825267904137,230844.972823203,230.844972823203,1.0805024571217783
p63,b003973,8,13.851241999832204,1455670.1695349184,1455.6701695349184,14.931744456953982
p63,b003973,10,0.1019492149991307,1798049.4042675337,1798.0494042675336,15.033693671953113
p63,b003973,12,3.190446568801511e-05,13324546.040327424,13324.546040327425,15.033725576418801
