region,capacity_GW,cum_cost_$,slope_$/kW
45a1cae9e3fb7425c15bc04bec28af32,33.385502,3184724426.3,311.6221
45a1cae9e3fb7425c15bc04bec28af32,33.894336,3368934933.6,362.0248
45a1cae9e3fb7425c15bc04bec28af32,34.900451,3771524930.6,400.1431
45a1cae9e3fb7425c15bc04bec28af32,48.784634,10599811550.4,491.8033
45a1cae9e3fb7425c15bc04bec28af32,52.355814,12825666852.1,623.2829
45a1cae9e3fb7425c15bc04bec28af32,56.070271,15488570169.8,716.9024
45a1cae9e3fb7425c15bc04bec28af32,56.180296,15571603408.5,754.6761
45a1cae9e3fb7425c15bc04bec28af32,63.415006,21185584306.1,775.9787
45a1cae9e3fb7425c15bc04bec28af32,63.74665,21727608167.0,1634.3545
45a1cae9e3fb7425c15bc04bec28af32,64.073356,22529846238.3,2455.5352
48285273eb070fb2eef952b7841e433b,7.858047,0.0,
48285273eb070fb2eef952b7841e433b,9.343368,246210348.3,165.7624
48285273eb070fb2eef952b7841e433b,13.219188,1222059571.2,251.7788
48285273eb070fb2eef952b7841e433b,13.661761,1389152917.8,377.5498
48285273eb070fb2eef952b7841e433b,14.108967,1559207450.2,380.26
48285273eb070fb2eef952b7841e433b,22.649535,5976261351.2,517.185
48285273eb070fb2eef952b7841e433b,32.627187,12272478065.3,631.0319
48285273eb070fb2eef952b7841e433b,38.975738,18040327704.4,908.5301
48285273eb070fb2eef952b7841e433b,44.951053,25845536559.1,1306.2422
48285273eb070fb2eef952b7841e433b,45.484511,26568053853.1,1354.4033
48285273eb070fb2eef952b7841e433b,48.710088,32697215133.8,1900.1752
48285273eb070fb2eef952b7841e433b,48.715321,32779786711.3,15779.0135
4a2b617a69dbfb910b57246655ebdf3e,18.420282,1067179081.4,
4a2b617a69dbfb910b57246655ebdf3e,18.78908,0.0,-2893.6683
4a2b617a69dbfb910b57246655ebdf3e,19.850048,38408384.2,36.2013
4a2b617a69dbfb910b57246655ebdf3e,20.668593,97268263.2,71.9079
4a2b617a69dbfb910b57246655ebdf3e,21.116037,130924652.4,75.2192
4a2b617a69dbfb910b57246655ebdf3e,21.895489,194703825.7,81.8257
4a2b617a69dbfb910b57246655ebdf3e,25.691768,688935670.8,130.1885
4a2b617a69dbfb910b57246655ebdf3e,33.100938,2798870927.3,284.7735
4a2b617a69dbfb910b57246655ebdf3e,38.029137,4350215654.7,314.7894
4a2b617a69dbfb910b57246655ebdf3e,42.996078,6333362948.5,399.2693
4a2b617a69dbfb910b57246655ebdf3e,53.47533,11697864122.4,511.9164
4a2b617a69dbfb910b57246655ebdf3e,55.141932,14103319919.5,1443.3295
4a2b617a69dbfb910b57246655ebdf3e,56.109038,15687442508.0,1638.0031
4a2b617a69dbfb910b57246655ebdf3e,57.47406,19263631113.2,2619.8762
4da38aec984d2f54d9c94ac5e0c52c4f,5.606776,0.0,
4da38aec984d2f54d9c94ac5e0c52c4f,7.097844,98769813.6,66.241
4da38aec984d2f54d9c94ac5e0c52c4f,9.400372,792985104.8,301.5013
4da38aec984d2f54d9c94ac5e0c52c4f,131.23198,52962627347.4,428.2111
4da38aec984d2f54d9c94ac5e0c52c4f,174.329874,71546407746.5,431.1993
4da38aec984d2f54d9c94ac5e0c52c4f,178.669011,73770895426.5,512.6567
4da38aec984d2f54d9c94ac5e0c52c4f,178.685374,74499504788.1,44527.8593
4e91093943d84c5d86a92cc691842322,1.08269,0.0,
4e91093943d84c5d86a92cc691842322,1.415427,20718514.5,62.2669
4e91093943d84c5d86a92cc691842322,2.550138,143959807.7,108.6103
