md5_from,md5_to,MW_forward,MW_reverse
fd832c2d91d094ad54b0e136d1568df0,b5be3a471b0c9c04dc99b1becf49e3dc,2600.7,2373.1
de73b430b6b6c4ff2c828349fcc586bd,aedcebc1529b01e8bf77393c81406931,1192.4,1188.4
45a1cae9e3fb7425c15bc04bec28af32,fa341f156b16caed442301bf68792a80,21.8,5.3
bce66f1b478885743e24754e2296e7ad,44d960540028642474acfd25467e7a96,493.0,917.7
83da8c6a48b3856ca8d1fb06e894d798,fa341f156b16caed442301bf68792a80,321.4,273.6
8bcad4839a1e0e439e62911ff7b2d1c0,a6fce5e6ca5bec22c9b802d4f91da3eb,1050.0,763.3
bce66f1b478885743e24754e2296e7ad,500d6a0d4f9d23ff8fb47b4178577eaa,940.6,1472.5
73ef543f06f457ad704934364529893c,e9fd61aae466af5c81165444b0ec1149,2061.8,1639.4
83da8c6a48b3856ca8d1fb06e894d798,45a1cae9e3fb7425c15bc04bec28af32,167.4,33.9
5350828dece3d87d6bc550ae59c1f716,500d6a0d4f9d23ff8fb47b4178577eaa,1202.7,1190.5
83da8c6a48b3856ca8d1fb06e894d798,5350828dece3d87d6bc550ae59c1f716,747.1,782.2
b0a9bfcdece7417e88b93d054508e38e,6dcecce2bf925ad09dd36d34a68b1f3e,2098.3,2256.4
e48598cd7a048a01fb0d19563bc12db8,05e8138abf6b899ed6bf8f3327eb0c73,2821.8,3061.8
8bcad4839a1e0e439e62911ff7b2d1c0,cd68f69f916d3a21378ed4f2c353a5f2,1658.4,1729.5
b0a9bfcdece7417e88b93d054508e38e,8b16b8589a919b5ac2a8e967f5840851,1138.4,1350.3
c46de094adb6809e259eeb712bab99ab,05e8138abf6b899ed6bf8f3327eb0c73,163.8,107.2
84627be9a4c4c58b839ec0de01f5ce71,f5c501e8c6a26a4244643ebdfa78a18d,480.8,423.7
500d6a0d4f9d23ff8fb47b4178577eaa,e9fd61aae466af5c81165444b0ec1149,1081.7,540.4
b0a9bfcdece7417e88b93d054508e38e,aedcebc1529b01e8bf77393c81406931,1644.1,1663.7
8bb4fb487323fd17e6ebc62985b328af,8575de00d4306c012cf42a221a3755c2,1599.6,1286.6
4ede11bf969e39ffa8bd7246f7269c96,05e8138abf6b899ed6bf8f3327eb0c73,1059.8,837.2
83da8c6a48b3856ca8d1fb06e894d798,c46de094adb6809e259eeb712bab99ab,1091.6,1001.1
94b7031bb5bd63658dccb1e100b9867e,8575de00d4306c012cf42a221a3755c2,2034.7,1887.7
e48598cd7a048a01fb0d19563bc12db8,f53cd63c69a4fa922ba401ec01cbd256,3228.4,2808.4
4ede11bf969e39ffa8bd7246f7269c96,e00b22b1c6734a2507a16cc866201315,2270.9,2315.0
e48598cd7a048a01fb0d19563bc12db8,4a2b617a69dbfb910b57246655ebdf3e,6126.5,5974.0
83da8c6a48b3856ca8d1fb06e894d798,f5c501e8c6a26a4244643ebdfa78a18d,940.5,1003.2
e00b22b1c6734a2507a16cc866201315,05e8138abf6b899ed6bf8f3327eb0c73,1593.2,1805.2
83da8c6a48b3856ca8d1fb06e894d798,b5be3a471b0c9c04dc99b1becf49e3dc,2564.0,2510.3
6e2922432dd30a1b2ce963e779f3b32f,05e8138abf6b899ed6bf8f3327eb0c73,4105.1,4149.4
f8644441280e76e07363ed18c744f98e,cd68f69f916d3a21378ed4f2c353a5f2,5460.4,5185.9
44d960540028642474acfd25467e7a96,3821f559a445565a9d7e817f21878b66,1131.9,1233.3
8575de00d4306c012cf42a221a3755c2,05e8138abf6b899ed6bf8f3327eb0c73,4401.8,2533.3
a6fce5e6ca5bec22c9b802d4f91da3eb,cd68f69f916d3a21378ed4f2c353a5f2,2524.0,2816.6
5350828dece3d87d6bc550ae59c1f716,bce66f1b478885743e24754e2296e7ad,3245.1,3098.0
b5be3a471b0c9c04dc99b1becf49e3dc,fa341f156b16caed442301bf68792a80,2349.8,2571.9
94b7031bb5bd63658dccb1e100b9867e,c46de094adb6809e259eeb712bab99ab,4881.3,4913.0
8575de00d4306c012cf42a221a3755c2,ad2f0d0246c2984fbadd6170660c68b2,1281.0,1184.5
6dcecce2bf925ad09dd36d34a68b1f3e,8b16b8589a919b5ac2a8e967f5840851,1022.1,1752.3
ad2f0d0246c2984fbadd6170660c68b2,05e8138abf6b899ed6bf8f3327eb0c73,465.9,259.7
44d960540028642474acfd25467e7a96,420e9f98c829e36511b29c4f3d3174fe,1068.9,1088.7
95f010dcc44da9cb878c408bfd8e2c56,84627be9a4c4c58b839ec0de01f5ce71,129.8,97.5
ad2f0d0246c2984fbadd6170660c68b2,48285273eb070fb2eef952b7841e433b,518.7,677.6
9f7e16bb747b8f99aefaf75261613b71,dcb08f45f5327ad0a33a15d5c66f4111,1627.9,903.4
8bb4fb487323fd17e6ebc62985b328af,ad2f0d0246c2984fbadd6170660c68b2,3258.1,3109.1
ad2f0d0246c2984fbadd6170660c68b2,265605ffaaddcc3d13d5d95449d2285e,4515.7,2770.2
aedcebc1529b01e8bf77393c81406931,e29b0ce7815148548561f1e505388a87,824.2,644.2
a6fce5e6ca5bec22c9b802d4f91da3eb,f53cd63c69a4fa922ba401ec01cbd256,5310.8,5768.4
a6fce5e6ca5bec22c9b802d4f91da3eb,48285273eb070fb2eef952b7841e433b,1870.3,947.7
f8644441280e76e07363ed18c744f98e,5327e56dde96d7a470ae99896c2e150b,144.7,428.6
f8644441280e76e07363ed18c744f98e,d357ed0a280ef2316fad80a87b83bbb9,4868.3,5969.7
95f010dcc44da9cb878c408bfd8e2c56,4da38aec984d2f54d9c94ac5e0c52c4f,2522.0,2319.6
f8644441280e76e07363ed18c744f98e,0d9a52e512b77d53cc23d6f85edc0754,3647.3,4901.5
b355cb4ba1b964c33e6ff093d6501ed2,8b16b8589a919b5ac2a8e967f5840851,150.0,179.1
aedcebc1529b01e8bf77393c81406931,dcb08f45f5327ad0a33a15d5c66f4111,1839.2,2255.6
aedcebc1529b01e8bf77393c81406931,8b16b8589a919b5ac2a8e967f5840851,228.6,274.8
ad2f0d0246c2984fbadd6170660c68b2,0d9a52e512b77d53cc23d6f85edc0754,155.6,84.5
e29b0ce7815148548561f1e505388a87,dcb08f45f5327ad0a33a15d5c66f4111,176.7,480.9
9f7e16bb747b8f99aefaf75261613b71,aedcebc1529b01e8bf77393c81406931,1711.6,1614.8
c46de094adb6809e259eeb712bab99ab,5350828dece3d87d6bc550ae59c1f716,3387.2,3308.4
1942f1e052aae8e41b0202f1d3898d29,99076f48936f656075dee0ad0473cfe2,4093.2,4334.7
83da8c6a48b3856ca8d1fb06e894d798,94b7031bb5bd63658dccb1e100b9867e,2300.6,2888.8
45a1cae9e3fb7425c15bc04bec28af32,8bb4fb487323fd17e6ebc62985b328af,5351.6,4424.8
a6fce5e6ca5bec22c9b802d4f91da3eb,05e8138abf6b899ed6bf8f3327eb0c73,1362.8,837.9
cd68f69f916d3a21378ed4f2c353a5f2,48285273eb070fb2eef952b7841e433b,3070.1,3190.0
8bb4fb487323fd17e6ebc62985b328af,4da38aec984d2f54d9c94ac5e0c52c4f,2114.6,4849.3
9f7e16bb747b8f99aefaf75261613b71,d357ed0a280ef2316fad80a87b83bbb9,7651.1,6472.5
95f010dcc44da9cb878c408bfd8e2c56,99076f48936f656075dee0ad0473cfe2,2456.2,2423.8
