*r,rtscbin,sc_cat,value
p41011,bin3,cap,20000
p41015,bin1,cost,107.66
p41015,bin1,cap,1000
p41015,bin2,cost,331.26
p41015,bin2,cap,2000
p41015,bin3,cost,3312.63
p41015,bin3,cap,20000
p41019,bin1,cost,107.66
p41019,bin1,cap,1000
p41019,bin2,cost,331.26
p41019,bin2,cap,2000
p41019,bin3,cost,3312.63
p41019,bin3,cap,20000
p41029,bin1,cost,107.66
p41029,bin1,cap,1000
p41029,bin2,cost,331.26
p41029,bin2,cap,2000
p41029,bin3,cost,3312.63
p41029,bin3,cap,20000
p41033,bin1,cost,107.66
p41033,bin1,cap,1000
p41033,bin2,cost,331.26
p41033,bin2,cap,2000
p41033,bin3,cost,3312.63
p41033,bin3,cap,20000
p41035,bin1,cost,107.66
p41035,bin1,cap,1000
p41035,bin2,cost,331.26
p41035,bin2,cap,2000
p41035,bin3,cost,3312.63
p41035,bin3,cap,20000
p41001,bin1,cost,107.66
p41001,bin1,cap,1000
p41001,bin2,cost,331.26
p41001,bin2,cap,2000
p41001,bin3,cost,3312.63
p41001,bin3,cap,20000
p41025,bin1,cost,107.66
p41025,bin1,cap,1000
p41025,bin2,cost,331.26
p41025,bin2,cap,2000
p41025,bin3,cost,3312.63
p41025,bin3,cap,20000
p41037,bin1,cost,107.66
p41037,bin1,cap,1000
p41037,bin2,cost,331.26
p41037,bin2,cap,2000
p41037,bin3,cost,3312.63
p41037,bin3,cap,20000
p41045,bin1,cost,107.66
p41045,bin1,cap,1000
p41045,bin2,cost,331.26
p41045,bin2,cap,2000
p41045,bin3,cost,3312.63
p41045,bin3,cap,20000
p06035,bin1,cost,107.66
p06035,bin1,cap,1000
p06035,bin2,cost,331.26
p06035,bin2,cap,2000
p06035,bin3,cost,3312.63
p06035,bin3,cap,20000
p06049,bin1,cost,107.66
p06049,bin1,cap,1000
p06049,bin2,cost,331.26
p06049,bin2,cap,2000
p06049,bin3,cost,3312.63
p06049,bin3,cap,20000
p06093,bin1,cost,107.66
p06093,bin1,cap,1000
p06093,bin2,cost,331.26
p06093,bin2,cap,2000
p06093,bin3,cost,3312.63
p06093,bin3,cap,20000
p06001,bin1,cost,107.66
p06001,bin1,cap,1000
p06001,bin2,cost,331.26
p06001,bin2,cap,2000
