*r,rtscbin,sc_cat,value
p17009,bin1,cost,107.66
p17009,bin1,cap,1000
p17009,bin2,cost,331.26
p17009,bin2,cap,2000
p17009,bin3,cost,3312.63
p17009,bin3,cap,20000
p17011,bin1,cost,107.66
p17011,bin1,cap,1000
p17011,bin2,cost,331.26
p17011,bin2,cap,2000
p17011,bin3,cost,3312.63
p17011,bin3,cap,20000
p17013,bin1,cost,107.66
p17013,bin1,cap,1000
p17013,bin2,cost,331.26
p17013,bin2,cap,2000
p17013,bin3,cost,3312.63
p17013,bin3,cap,20000
p17015,bin1,cost,107.66
p17015,bin1,cap,1000
p17015,bin2,cost,331.26
p17015,bin2,cap,2000
p17015,bin3,cost,3312.63
p17015,bin3,cap,20000
p17017,bin1,cost,107.66
p17017,bin1,cap,1000
p17017,bin2,cost,331.26
p17017,bin2,cap,2000
p17017,bin3,cost,3312.63
p17017,bin3,cap,20000
p17019,bin1,cost,107.66
p17019,bin1,cap,1000
p17019,bin2,cost,331.26
p17019,bin2,cap,2000
p17019,bin3,cost,3312.63
p17019,bin3,cap,20000
p17021,bin1,cost,107.66
p17021,bin1,cap,1000
p17021,bin2,cost,331.26
p17021,bin2,cap,2000
p17021,bin3,cost,3312.63
p17021,bin3,cap,20000
p17023,bin1,cost,107.66
p17023,bin1,cap,1000
p17023,bin2,cost,331.26
p17023,bin2,cap,2000
p17023,bin3,cost,3312.63
p17023,bin3,cap,20000
p17025,bin1,cost,107.66
p17025,bin1,cap,1000
p17025,bin2,cost,331.26
p17025,bin2,cap,2000
p17025,bin3,cost,3312.63
p17025,bin3,cap,20000
p17027,bin1,cost,107.66
p17027,bin1,cap,1000
p17027,bin2,cost,331.26
p17027,bin2,cap,2000
p17027,bin3,cost,3312.63
p17027,bin3,cap,20000
p17029,bin1,cost,107.66
p17029,bin1,cap,1000
p17029,bin2,cost,331.26
p17029,bin2,cap,2000
p17029,bin3,cost,3312.63
p17029,bin3,cap,20000
p17031,bin1,cost,107.66
p17031,bin1,cap,1000
p17031,bin2,cost,331.26
p17031,bin2,cap,2000
p17031,bin3,cost,3312.63
p17031,bin3,cap,20000
p17033,bin1,cost,107.66
p17033,bin1,cap,1000
p17033,bin2,cost,331.26
p17033,bin2,cap,2000
p17033,bin3,cost,3312.63
p17033,bin3,cap,20000
p17035,bin1,cost,107.66
p17035,bin1,cap,1000
p17035,bin2,cost,331.26
p17035,bin2,cap,2000
p17035,bin3,cost,3312.63
p17035,bin3,cap,20000
p17037,bin1,cost,107.66
p17037,bin1,cap,1000
p17037,bin2,cost,331.26
p17037,bin2,cap,2000
p17037,bin3,cost,3312.63
p17037,bin3,cap,20000
p17039,bin1,cost,107.66
p17039,bin1,cap,1000
p17039,bin2,cost,331.26
p17039,bin2,cap,2000
p17039,bin3,cost,3312.63
p17039,bin3,cap,20000
p17041,bin1,cost,107.66
p17041,bin1,cap,1000
p17041,bin2,cost,331.26
p17041,bin2,cap,2000
p17041,bin3,cost,3312.63
p17041,bin3,cap,20000
p17043,bin1,cost,107.66
p17043,bin1,cap,1000
