r,rr,MW,loss,branch_count,method
pr1102,pr392,240.0,0.000264,1,sum_of_boundary_continuous_ratings
pr1102,pr87,240.0,0.00021600000000000002,1,sum_of_boundary_continuous_ratings
pr1103,pr63,199.0,0.0011741000000000002,1,sum_of_boundary_continuous_ratings
pr1103,pr88,199.0,0.0019104,1,sum_of_boundary_continuous_ratings
pr1104,pr45,191.0,0.0006685,1,sum_of_boundary_continuous_ratings
pr1104,pr63,191.0,0.0020437,1,sum_of_boundary_continuous_ratings
pr1105,pr45,240.0,0.00048,1,sum_of_boundary_continuous_ratings
pr1105,pr50,240.0,0.00216,1,sum_of_boundary_continuous_ratings
pr111,pr378,231.1,0.0020798999999999995,1,sum_of_boundary_continuous_ratings
pr111,pr45,184.6,0.007753199999999998,1,sum_of_boundary_continuous_ratings
pr1110,pr440,300.0,0.005640000000000001,1,sum_of_boundary_continuous_ratings
pr1110,pr96,300.0,0.01356,1,sum_of_boundary_continuous_ratings
pr116,pr169,169.5,0.03328441556342183,4,sum_of_boundary_continuous_ratings
