sc_point_gid,class,capacity,capital_adder_per_mw,cf
79612,3,2.94,180618.87,0.2515
79613,2,6.58,91249.65,0.2218
79614,2,4.2,173927.14,0.2193
79615,1,3.51,130538.69,0.1397
79616,1,1.19,143125.13,0.094
79618,2,1.3,222576.15,0.1759
79620,5,2.49,122145.05,0.378
79629,4,0.53,127972.45,0.3065
79632,4,0.88,65670.38,0.3246
79636,5,1.8,125870.39,0.3606
79637,5,2.63,127934.84,0.3661
79638,5,2.95,259521.67,0.373
79644,5,0.7,69703.99,0.3622
79646,6,1.42,69615.07,0.3989
79647,6,4.91,53456.38,0.4062
79648,6,23.54,9857.33,0.4085
79684,7,54.0,130988.33,0.4282
79685,8,54.0,130544.01,0.4368
79691,8,156.0,81075.88,0.4513
79692,9,48.0,154920.63,0.458
79697,7,6.0,1578003.31,0.4201
79706,7,24.0,402555.37,0.4152
79715,5,6.0,19910681.69,0.3651
79718,5,6.0,12096079.37,0.3725
79765,6,1.52,657768.11,0.3925
79773,5,0.81,18486.15,0.3445
79774,5,2.44,84833.42,0.3673
79776,5,0.7,95516.15,0.3471
79777,5,4.29,1656.74,0.3429
79778,5,3.62,-1730.15,0.346
79779,5,2.08,11445.83,0.3564
79780,5,6.78,1531.14,0.3606
79781,4,0.93,72088.57,0.315
79782,4,3.27,61475.16,0.3294
79783,5,6.16,41848.79,0.3417
79836,4,6.0,1280515.21,0.333
80188,1,0.35,223813.29,0.1357
80191,1,0.27,199520.37,0.0935
80192,1,0.23,242976.65,0.0723
80196,2,0.45,213656.22,0.2251
80199,2,0.29,1618536.91,0.1851
80200,2,1.52,244848.27,0.2131
80201,3,0.23,183879.55,0.2296
80202,1,0.4,182517.27,0.1576
80206,2,1.19,181082.12,0.1938
80207,3,0.57,107464.05,0.2356
80208,4,1.73,85960.17,0.3103
80209,3,0.77,106017.42,0.2606
80210,2,4.64,194886.14,0.1889
80211,3,6.89,184598.33,0.2428
80212,2,2.56,125415.43,0.2182
80213,3,1.12,142509.83,0.256
80216,2,0.17,124424.05,0.1976
80222,3,1.25,223577.13,0.2546
80235,2,0.82,195989.52,0.1698
80241,3,1.19,198790.92,0.259
80242,3,0.05,200692.89,0.2499
80243,3,0.27,137650.92,0.2444
80244,2,0.39,120511.2,0.2025
80245,1,3.69,94794.84,0.161
80246,2,2.94,118414.35,0.1934
80247,2,0.65,134967.92,0.1736
80248,1,1.01,100369.05,0.0735
80250,1,0.12,160533.66,0.0883
80251,1,0.35,186923.02,0.1056
