sc_point_gid,class,capacity,capital_adder_per_mw,cf,mean_resource_temp
92747,8,85.64,0,0.9944,154
92748,8,74.3,0,0.9945,155
92749,8,47.54,0,0.9945,156
92750,8,69.53,0,0.9945,158
92763,8,83.01,0,0.9945,158
92764,8,110.22,0,0.9946,161
92765,8,150.69,0,0.9945,159
92766,8,104.28,0,0.9945,157
92767,8,141.27,0,0.9945,158
92768,8,145.98,0,0.9945,159
92769,8,178.09,0,0.9945,161
92770,8,141.62,0,0.9946,162
92771,8,87.66,0,0.9945,160
92772,8,69.81,0,0.9945,159
92773,8,73.96,0,0.9945,159
92774,8,73.85,0,0.9945,158
92775,8,93.34,0,0.9945,160
92776,8,81.75,0,0.9945,160
92777,8,73.72,0,0.9946,162
92778,8,107.48,0,0.9946,162
92779,8,147.85,0,0.9946,163
92780,8,142.43,0,0.9946,165
92781,8,131.4,0,0.9946,167
92782,8,66.51,0,0.9946,167
92783,8,42.29,0,0.9946,167
92784,8,34.98,0,0.9946,165
92785,8,33.06,0,0.9946,163
92786,8,9.2,0,0.9946,164
92807,8,160.72,0,0.9946,161
92808,8,248.53,0,0.9945,160
92809,8,228.26,0,0.9945,158
92810,8,213.86,0,0.9945,159
92811,8,275.78,0,0.9946,165
92812,8,268.23,0,0.9945,161
92813,8,244.89,0,0.9945,160
92814,8,306.92,0,0.9945,161
92815,8,283.05,0,0.9945,161
92816,8,353.39,0,0.9945,160
92817,8,235.05,0,0.9945,160
92818,8,258.45,0,0.9945,161
92819,8,226.74,0,0.9946,162
92820,8,273.08,0,0.9946,162
92821,8,255.36,0,0.9946,161
92822,8,304.8,0,0.9945,160
92823,8,260.35,0,0.9945,161
92824,8,290.67,0,0.9945,159
92825,8,246.4,0,0.9945,159
92826,8,195.3,0,0.9945,159
92827,8,225.66,0,0.9945,159
92828,8,266.15,0,0.9945,160
92829,8,334.32,0,0.9945,156
92830,8,197.08,0,0.9945,158
92831,8,258.22,0,0.9945,156
92832,8,298.09,0,0.9944,154
92833,8,244.42,0,0.9945,156
92834,8,256.15,0,0.9945,157
92835,8,229.68,0,0.9945,159
92836,8,156.49,0,0.9945,158
92837,8,207.63,0,0.9945,158
92838,8,165.18,0,0.9945,157
92839,8,194.84,0,0.9944,154
92840,9,236.08,0,0.9944,150
92841,8,194.84,0,0.9944,151
92842,9,216.85,0,0.9944,150
92843,8,301.8,0,0.9944,151
92844,8,267.79,0,0.9944,150
92845,7,303.85,0,0.9947,176
92846,8,266.46,0,0.9947,174
92847,8,91.21,0,0.9944,154
92848,8,107.24,0,0.9944,152
92849,7,222.71,0,0.9947,175
92850,8,297.83,0,0.9945,156
92851,8,80.92,0,0.9945,158
92852,8,120.16,0,0.9945,159
92853,8,118.92,0,0.9946,162
92854,8,91.26,0,0.9946,166
92855,8,34.68,0,0.9946,168
92861,7,110.44,0,0.9948,190
92863,7,89.29,0,0.9948,191
93175,6,73.56,0,0.9947,212
93176,1,867.79,0,0.9939,345
93177,6,271.4,0,0.9947,208
93178,1,1061.01,0,0.9939,346
93179,6,288.73,0,0.9947,211
93180,1,706.85,0,0.994,340
93183,6,10.72,0,0.9947,200
93184,7,476.33,0,0.9947,200
93185,7,649.76,0,0.9947,191
93186,7,642.61,0,0.9947,191
93187,7,507.1,0,0.9947,188
93188,7,233.98,0,0.9946,181
93189,7,175.04,0,0.9946,184
93190,7,552.78,0,0.9946,185
93191,7,418.39,0,0.9947,188
93192,7,404.73,0,0.9947,188
93193,7,23.0,0,0.9947,191
93194,6,6.63,0,0.9947,207
93195,6,0.04,0,0.9947,204
93196,6,183.62,0,0.9947,212
93197,6,331.61,0,0.9947,222
93198,6,463.25,0,0.9947,222
93199,1,1379.39,0,0.9937,352
93200,5,241.04,0,0.9947,228
93201,6,152.92,0,0.9947,221
93202,6,96.54,0,0.9947,212
93203,6,181.11,0,0.9947,205
93204,6,50.6,0,0.9947,203
93205,7,1.85,0,0.9947,199
93206,6,21.24,0,0.9947,201
93207,7,6.76,0,0.9946,183
93208,5,49.97,0,0.9947,228
93209,6,13.14,0,0.9947,221
93210,6,266.12,0,0.9947,215
93215,6,1.43,0,0.9948,216
93216,7,4.51,0,0.9946,181
93217,7,369.85,0,0.9946,181
93218,7,727.37,0,0.9946,185
93219,7,793.69,0,0.9947,191
93220,7,545.25,0,0.9946,180
93221,7,365.99,0,0.9947,187
93222,7,233.36,0,0.9947,192
93223,7,620.47,0,0.9947,198
93224,6,380.25,0,0.9947,201
93225,6,405.05,0,0.9947,202
93226,6,319.82,0,0.9947,204
93227,7,103.86,0,0.9947,191
93228,7,44.62,0,0.9947,187
93229,7,124.18,0,0.9946,184
93230,7,143.8,0,0.9947,186
93231,7,221.23,0,0.9947,190
93232,7,139.24,0,0.9946,176
93233,7,153.08,0,0.9946,185
93234,7,187.35,0,0.9947,188
93235,7,244.63,0,0.9946,183
93236,7,153.46,0,0.9946,179
93237,7,36.1,0,0.9946,177
93238,7,103.63,0,0.9947,191
93239,6,4.47,0,0.9947,212
93240,6,56.08,0,0.9947,205
93241,7,60.78,0,0.9946,183
93242,7,18.23,0,0.9946,179
93243,7,20.08,0,0.9946,183
93244,8,80.81,0,0.9945,174
93245,7,60.24,0,0.9946,179
93246,7,14.35,0,0.9947,188
93247,7,4.18,0,0.9946,185
93248,7,88.49,0,0.9947,191
93249,7,162.7,0,0.9947,187
93250,7,381.48,0,0.9947,196
93251,7,390.96,0,0.9947,190
93252,7,470.61,0,0.9947,193
93253,7,491.32,0,0.9947,194
93254,7,419.63,0,0.9947,196
93255,7,594.68,0,0.9947,188
93256,7,314.23,0,0.9947,186
93257,7,291.38,0,0.9947,185
93258,7,542.9,0,0.9947,187
93259,7,504.39,0,0.9946,182
93260,7,390.52,0,0.9946,184
93261,8,270.63,0,0.9945,170
93262,7,244.22,0,0.9947,193
93263,7,420.93,0,0.9947,187
93264,7,253.23,0,0.9947,193
93265,7,319.51,0,0.9947,196
93266,7,78.31,0,0.9947,193
93268,7,145.13,0,0.9947,185
93269,7,181.96,0,0.9947,187
93270,7,291.14,0,0.9947,188
93271,7,267.45,0,0.9947,185
93272,7,172.66,0,0.9947,180
93273,8,51.64,0,0.9946,171
93274,7,84.47,0,0.9948,197
93275,8,68.92,0,0.9945,165
93276,8,101.18,0,0.9946,168
93277,8,69.87,0,0.9945,165
93279,8,4.32,0,0.9946,171
93280,8,9.07,0,0.9946,172
93281,8,37.29,0,0.9946,173
93282,8,63.59,0,0.9946,168
93283,8,30.52,0,0.9946,174
93284,7,37.63,0,0.9946,176
93285,8,34.63,0,0.9946,170
93286,8,39.14,0,0.9945,167
93287,8,10.02,0,0.9945,165
93290,8,28.99,0,0.9946,168
93291,8,87.31,0,0.9946,171
93292,7,34.63,0,0.9946,175
93293,8,117.92,0,0.9943,156
93294,8,223.25,0,0.9944,163
93295,8,115.16,0,0.9944,162
93296,8,69.81,0,0.9943,157
93297,9,80.41,0,0.9942,150
93298,9,53.23,0,0.9942,147
93299,7,91.23,0,0.9946,175
93300,7,162.93,0,0.9947,185
93301,7,188.21,0,0.9947,186
93302,8,346.97,0,0.9946,174
