sc_point_gid,class,capacity,capital_adder_per_mw,cf,mean_resource_temp,mean_resource_depth,lcoe_site_usd_per_mwh,lcoe_all_in_usd_per_mwh
136550,8,191.44,0,0.9945,156,6000,89.287796,89.83033
136551,7,335.25,0,0.9948,180,7000,89.53651,90.18369
136552,7,364.82,0,0.9947,177,7000,90.07098,90.87552
136553,9,290.73,0,0.9944,150,6000,91.23473,92.012955
136554,8,301.49,0,0.9947,168,7000,92.038864,92.80668
136555,8,205.92,0,0.9947,167,7000,92.42328,93.35606
136556,8,209.78,0,0.9944,151,6000,90.84844,92.13953
136557,8,185.37,0,0.9945,156,6000,89.18646,90.26118
136558,8,214.62,0,0.9945,157,6000,89.13311,90.02353
136559,8,157.72,0,0.9945,156,6000,89.39725,90.11954
136560,8,63.33,0,0.9944,153,6000,90.19225,90.81099
136561,8,114.18,0,0.9945,155,6000,89.51313,90.0449
136562,8,62.77,0,0.9945,159,6000,88.49661,88.77395
136563,8,115.43,0,0.9945,159,6000,88.50506,89.555565
136564,8,160.29,0,0.9945,159,6000,88.47833,89.47727
136565,8,206.23,0,0.9945,157,6000,88.87182,89.71447
136566,7,234.02,0,0.9948,179,7000,89.68257,89.90835
136567,7,259.01,0,0.9947,177,7000,90.075966,90.69832
136568,7,255.0,0,0.9947,178,7000,89.871925,90.854904
136569,8,149.38,0,0.9947,175,7000,90.50628,92.4324
136570,8,102.47,0,0.9945,154,6000,89.74521,92.00464
136571,8,110.56,0,0.9945,156,6000,89.227806,91.524826
136572,8,141.18,0,0.9945,157,6000,89.069435,91.14881
136573,8,179.78,0,0.9945,156,6000,89.35478,91.16464
136574,8,108.92,0,0.9945,157,6000,88.95064,91.12268
136575,8,38.52,0,0.9945,158,6000,88.60305,91.301704
136576,8,29.47,0,0.9945,158,6000,88.603615,90.76474
136577,8,79.3,0,0.9945,158,6000,88.673386,90.30008
136578,8,167.53,0,0.9945,157,6000,89.05977,90.34318
136579,8,212.23,0,0.9945,157,6000,88.94661,90.23992
136580,8,144.3,0,0.9945,157,6000,88.99402,89.86189
136581,8,260.15,0,0.9945,155,6000,89.581635,90.348206
136582,8,185.48,0,0.9945,158,6000,88.69137,89.262474
136583,8,69.13,0,0.9946,161,6000,87.793976,88.440155
136584,8,44.35,0,0.9945,157,6000,88.95645,89.69568
136585,8,65.65,0,0.9945,156,6000,89.19444,90.090004
136586,8,30.99,0,0.9945,157,6000,89.130035,90.23817
136587,8,32.45,0,0.9944,152,6000,90.39345,91.22139
136588,8,74.84,0,0.9944,153,6000,90.35477,91.04994
136589,8,45.09,0,0.9945,155,6000,89.728355,90.58173
136590,8,97.75,0,0.9944,154,6000,89.93213,90.4205
136591,8,179.89,0,0.9944,153,6000,90.192444,91.27028
136592,8,211.36,0,0.9944,152,6000,90.69847,92.46313
136593,8,184.54,0,0.9945,155,6000,89.59977,91.32532
136594,8,254.83,0,0.9945,159,6000,88.43158,90.18665
136595,8,312.12,0,0.9945,161,6000,87.932045,89.64508
136596,8,188.76,0,0.9946,164,6000,87.2414,88.87395
136597,8,160.73,0,0.9946,167,6000,86.495575,88.31348
136598,8,222.89,0,0.9947,169,6000,86.01332,87.86505
136599,8,152.34,0,0.9947,170,6000,85.748726,86.53911
136600,8,200.33,0,0.9947,172,6000,85.45593,87.1258
136601,8,124.87,0,0.9947,172,6000,85.38296,86.57906
136602,8,149.57,0,0.9947,171,6000,85.5135,86.77559
136603,8,147.26,0,0.9947,171,6000,85.66015,87.02366
136604,8,115.67,0,0.9947,170,6000,85.84352,87.39136
136605,8,73.81,0,0.9947,170,6000,85.8821,87.39548
136606,8,113.73,0,0.9947,172,6000,85.38302,87.11696
136607,8,136.81,0,0.9947,172,6000,85.43875,87.28998
136608,8,117.21,0,0.9947,169,6000,85.94412,87.28923
136609,8,59.67,0,0.9946,168,6000,86.225685,87.286995
136610,8,93.91,0,0.9946,168,6000,86.24504,87.96217
136611,8,107.19,0,0.9946,168,6000,86.306015,88.12242
136612,8,153.65,0,0.9946,167,6000,86.43025,87.86573
136613,8,188.42,0,0.9947,171,6000,85.58766,87.08019
136614,8,113.83,0,0.9947,174,6000,85.04779,86.25993
136615,7,90.2,0,0.9947,175,6000,84.85269,85.857124
136616,7,169.66,0,0.9947,180,6000,84.13127,84.95503
136617,7,145.66,0,0.9947,181,6000,83.99515,84.95837
136618,7,38.43,0,0.9947,182,6000,83.79805,85.004105
136620,7,25.37,0,0.9948,185,6000,83.427734,85.02333
136621,7,50.44,0,0.9947,183,6000,83.68546,85.353806
136622,7,58.07,0,0.9947,182,6000,83.83189,85.88602
136963,7,0.02,0,0.9948,192,5000,78.20504,80.534615
136964,7,0.01,0,0.9947,186,5000,78.72982,81.23764
136966,7,0.01,0,0.9947,189,5000,78.45458,83.19156
136972,8,146.67,0,0.9943,157,4000,78.47168,79.51168
136973,8,142.79,0,0.9944,158,4000,78.32409,79.556015
136974,8,132.5,0,0.9943,154,4000,79.02227,80.39731
136975,7,190.18,0,0.9947,182,5000,79.224365,80.06396
136976,7,49.39,0,0.9947,182,5000,79.203,80.197426
136977,7,65.49,0,0.9947,180,5000,79.41756,80.51698
136978,7,104.67,0,0.9947,180,5000,79.51131,80.88488
136979,8,8.84,0,0.9945,164,5000,81.834915,82.97827
136980,8,13.02,0,0.9946,167,5000,81.38788,82.56751
136982,9,38.53,0,0.9942,148,4000,80.226585,81.45714
136983,8,122.66,0,0.9946,171,5000,80.76643,82.36198
136984,8,154.34,0,0.9946,174,5000,80.25231,81.3685
136985,8,105.68,0,0.9946,173,5000,80.43677,81.24121
136986,9,26.81,0,0.9942,148,4000,80.21046,80.64244
136987,8,24.47,0,0.9943,158,4000,78.419556,80.04607
136988,8,14.73,0,0.9944,162,4000,77.70515,79.14925
136989,8,10.93,0,0.9945,168,4000,76.93885,78.24295
136990,8,0.91,0,0.9945,166,4000,77.269714,78.64531
136991,8,30.24,0,0.9945,170,4000,76.71441,78.23469
136992,8,97.29,0,0.9945,172,4000,76.47248,78.168594
136993,8,273.38,0,0.9945,171,4000,76.62122,78.46999
136994,7,234.14,0,0.9946,175,4000,76.07938,78.10008
136995,8,105.2,0,0.9945,168,4000,76.94376,79.10071
136999,6,2.14,0,0.9948,201,5000,77.43007,80.62945
137000,8,9.1,0,0.9944,165,4000,77.34081,81.087265
137001,8,0.14,0,0.9945,172,4000,76.52495,79.49801
137002,8,0.06,0,0.9945,169,4000,76.86852,79.82517
137007,8,3.92,0,0.9943,153,4000,79.185265,83.55072
137008,8,112.65,0,0.9943,155,4000,78.820946,82.72427
137009,8,0.05,0,0.9944,165,4000,77.381836,81.09816
137010,8,0.22,0,0.9943,153,4000,79.16637,82.86336
137011,8,0.24,0,0.9944,165,4000,77.3368,80.71922
137012,8,4.3,0,0.9945,173,4000,76.31991,79.576706
137013,8,11.13,0,0.9943,158,4000,78.391754,81.83988
137014,8,17.32,0,0.9944,162,4000,77.73179,80.832085
137015,8,77.43,0,0.9945,169,4000,76.81972,79.286026
137016,8,75.09,0,0.9945,168,4000,76.93548,79.53431
137017,8,330.43,0,0.9945,167,4000,77.04189,79.228836
137018,8,380.01,0,0.9943,158,4000,78.453354,80.49749
137019,8,399.97,0,0.9943,152,4000,79.35298,81.67581
137020,6,899.9,0,0.9949,213,6000,80.31855,82.91379
137021,6,806.43,0,0.9948,207,6000,80.8498,83.44064
137022,6,894.86,0,0.9949,210,6000,80.58551,83.492485
137023,6,906.35,0,0.9949,212,6000,80.40977,83.22889
137024,6,823.34,0,0.9949,213,6000,80.31336,83.26721
137025,6,385.43,0,0.9949,213,6000,80.34003,82.057945
