sc_point_gid,class,capacity,capital_adder_per_mw,cf
172868,7,530.84,1061874.39,0.3291
172869,7,530.84,1074393.61,0.3286
172870,7,530.84,1083516.15,0.328
172871,7,530.84,1089672.02,0.3275
172872,7,530.84,1098166.71,0.3272
172873,7,522.97,1133764.3,0.3273
172874,7,440.64,1290467.0,0.3274
172875,7,337.8,1434578.43,0.3269
172876,7,234.8,1921329.71,0.3266
172877,7,113.4,4716285.55,0.3264
172878,7,26.67,4997589.83,0.3259
172880,7,73.97,5204499.19,0.3255
172881,7,504.01,1564248.64,0.3251
172882,7,36.09,5580369.27,0.3249
173529,2,182.41,894354.9,0.2972
173530,2,530.71,65407.69,0.2981
173531,2,530.78,136967.22,0.2992
173532,2,530.71,208082.32,0.2993
173533,2,530.81,316718.06,0.2994
173534,2,530.84,366802.93,0.3003
173535,2,520.38,453824.98,0.3009
173536,2,287.06,707238.99,0.3014
173537,7,24.4,2973151.36,0.3023
173544,7,163.91,3305275.73,0.3242
173545,7,530.84,1013781.4,0.3252
173546,7,530.84,1005790.48,0.3269
173547,7,530.84,1005125.23,0.3276
173548,7,530.84,1010117.61,0.3278
173549,7,530.84,1021634.43,0.3276
173550,7,530.84,1038819.06,0.3273
173551,7,530.84,1057897.82,0.3271
173552,7,510.56,1137323.35,0.3267
173553,7,417.28,1274046.38,0.3264
173554,7,318.1,1389679.75,0.3263
173555,7,217.6,2184179.76,0.326
173556,7,115.12,4455303.35,0.3259
173557,7,20.38,4798214.23,0.3261
173561,7,59.97,5057553.18,0.3223
173562,7,165.76,3632860.54,0.3227
173563,7,272.19,1649895.21,0.3228
173564,7,380.38,1532088.43,0.323
173565,7,530.84,1432711.21,0.3234
173566,7,124.25,4979122.16,0.3229
174213,1,334.5,190916.8,0.2926
174214,2,530.81,61800.02,0.2945
174215,2,530.49,100361.72,0.2955
174216,2,530.84,162197.68,0.2957
174217,2,530.84,246967.86,0.2961
174218,2,530.84,321980.29,0.2974
174219,2,530.84,395676.31,0.2981
174220,2,530.84,534240.02,0.2997
174221,7,470.74,115950.51,0.3016
174222,7,168.97,2344397.64,0.3032
174228,7,329.28,1286484.27,0.3211
174229,7,530.84,1005778.21,0.3224
174230,7,530.0,1008861.31,0.324
174231,7,471.97,1136431.65,0.3252
174232,7,376.59,1243567.55,0.3255
174233,7,281.23,1358860.14,0.3259
174234,7,183.16,2874010.06,0.3262
174235,7,84.5,4719554.81,0.3256
174240,7,74.62,4819051.38,0.3225
174241,7,177.42,3118783.67,0.3222
174242,7,280.62,1490317.65,0.3221
174243,7,367.45,1413995.34,0.322
174244,7,448.61,1362068.18,0.3216
174245,7,530.84,1266940.25,0.3214
174246,7,530.84,1327987.39,0.3217
174247,7,530.84,1322079.67,0.3215
174248,7,530.84,1283611.3,0.3219
174249,7,530.84,1372217.71,0.3217
174250,7,219.15,2684553.44,0.3214
174897,1,138.7,1417674.16,0.2892
174898,1,366.93,197090.34,0.291
174899,1,530.61,101273.63,0.2919
174900,1,530.84,159272.31,0.2927
174901,1,530.84,235709.9,0.2934
174902,2,530.84,264631.66,0.2946
174903,2,530.84,331849.49,0.2954
174904,2,530.84,469950.13,0.297
174905,7,530.84,-153276.11,0.2991
174906,7,521.28,410020.39,0.302
174907,7,30.84,3839819.68,0.303
174912,7,186.88,2739553.0,0.319
174913,7,131.41,3956338.69,0.3207
174914,7,37.29,4635875.46,0.3226
174918,7,16.04,4722893.59,0.3221
174919,7,107.11,4593416.56,0.3222
174920,7,206.0,2445157.95,0.3221
174921,7,304.82,1434742.16,0.3218
174922,7,403.67,1332741.54,0.3216
174923,7,500.22,1225411.59,0.3214
174924,7,530.84,1132733.5,0.3212
174925,7,530.84,1147316.56,0.3208
174926,7,530.84,1164756.63,0.3205
174927,7,470.9,1321731.78,0.3206
174928,7,530.84,1227868.18,0.3202
174929,7,530.84,1286152.47,0.3197
174930,7,530.84,1330363.05,0.32
174931,7,530.84,1347183.89,0.3198
174932,7,530.84,1326821.03,0.3201
174933,7,530.84,1350296.53,0.3198
174934,7,318.95,1821047.4,0.3194
175533,2,16.88,1787636.29,0.2989
175534,2,39.01,1816754.08,0.2989
175582,1,404.45,201682.34,0.2861
175583,1,339.97,245029.14,0.2886
175584,1,436.59,202482.83,0.29
175585,1,530.84,166886.11,0.2911
175586,1,530.84,209221.76,0.2919
175587,1,530.84,285501.66,0.2925
175588,2,530.84,432770.98,0.2944
175589,2,530.84,794260.88,0.2966
175590,7,530.84,249235.77,0.2998
175591,7,170.59,2425633.94,0.302
175597,7,60.91,4659763.95,0.3163
175598,7,156.52,3427876.98,0.3181
175599,7,251.36,1382446.71,0.3197
175600,7,346.26,1286776.35,0.3206
175601,7,441.26,1204107.22,0.321
175602,7,522.42,1087628.16,0.3212
175603,7,530.84,1080192.19,0.3211
175604,7,530.84,1105103.1,0.3208
175605,7,530.84,1126008.07,0.3203
175606,7,530.84,1138450.4,0.3197
175607,7,530.84,1143852.21,0.3192
175608,7,530.84,1152912.83,0.3188
175609,7,530.84,1170210.22,0.3185
175610,7,500.81,1290562.68,0.3188
175611,7,501.23,1332577.02,0.3188
175612,7,530.84,1289426.02,0.3186
175613,7,530.84,1339108.02,0.3184
175614,7,530.84,1375726.94,0.3184
175615,7,530.84,1421494.31,0.3181
175616,7,530.84,1447684.13,0.3182
175617,7,530.84,1439226.25,0.318
175618,7,464.45,1628373.23,0.3175
176214,2,32.34,1748630.92,0.302
176215,2,204.9,726007.87,0.3031
176216,2,359.35,192705.17,0.3026
176217,2,507.64,188451.96,0.3016
176218,2,243.91,575258.96,0.3015
176240,1,115.7,1630399.97,0.2859
176241,1,432.09,152168.18,0.2854
176242,1,200.3,770656.81,0.2853
176243,1,20.31,1806788.87,0.284
176266,1,101.02,1830005.84,0.2829
176267,1,218.15,624347.29,0.2843
176268,1,323.81,267236.58,0.2866
176269,1,530.84,154393.22,0.2886
176270,1,530.84,218537.84,0.2895
176271,1,530.84,258684.6,0.2907
176272,1,530.84,354081.29,0.2925
176273,2,530.84,642506.76,0.2945
176274,7,530.84,115679.52,0.2976
176275,7,317.13,712026.67,0.3004
176279,7,251.26,1338908.31,0.3109
176280,7,495.69,1103569.2,0.3126
176281,7,530.84,1023195.65,0.3142
176282,7,530.84,1020985.29,0.3162
176283,7,530.84,1019936.87,0.3179
176284,7,530.84,1026655.2,0.3186
176285,7,530.84,1044884.6,0.3191
176286,7,530.84,1062723.74,0.3192
176287,7,530.84,1085060.3,0.3191
176288,7,530.84,1107703.13,0.3189
176289,7,530.84,1130123.11,0.3181
176290,7,530.84,1147269.0,0.3177
176291,7,530.84,1159995.52,0.3172
176292,7,530.84,1175514.05,0.3167
176293,7,530.84,1200925.27,0.3167
176294,7,470.93,1372613.72,0.3172
176295,7,530.84,1298125.91,0.3171
176296,7,530.84,1349075.14,0.3168
176297,7,530.84,1364889.93,0.3167
176298,7,530.84,1383936.28,0.3166
176299,7,530.84,1410076.63,0.3164
176300,7,530.84,1444048.15,0.3161
176301,7,530.84,1478968.54,0.316
176302,7,530.84,1503561.3,0.3154
176303,7,152.8,4274361.93,0.3148
176885,2,131.97,1181618.11,0.3144
176886,2,89.29,1522742.48,0.3137
176892,2,46.66,1559415.15,0.3089
176893,2,107.99,1503372.97,0.3077
176894,2,214.0,474748.12,0.3064
176895,2,356.4,98092.24,0.3044
176896,2,424.38,138286.74,0.3047
176897,2,487.26,87049.69,0.3039
176898,2,173.37,1059765.37,0.3037
176899,2,528.61,100605.27,0.3047
176900,2,530.58,253679.36,0.3045
176901,7,530.84,-252927.55,0.3037
176902,7,297.56,155675.69,0.3032
176924,1,328.54,236624.86,0.2897
176925,1,530.84,94356.67,0.2894
176926,1,530.84,95044.21,0.2878
176927,1,519.89,99517.29,0.2854
176928,1,105.56,1747006.91,0.2843
176951,1,126.23,1562098.48,0.2809
176952,1,205.19,771009.33,0.2845
176953,1,529.9,159535.6,0.286
176954,1,530.84,235468.88,0.2871
176955,1,530.84,303418.76,0.2886
176956,1,530.84,333012.07,0.2906
