source_id,source_kind,tech,region,capacity_mw,start_year,energy_mwh
PR100_DST_2022_pr234,pr100_distributed_storage_2022,battery_li,pr234,15.101293581142857,2009,60.40542154192857
PR100_DST_2022_pr266,pr100_distributed_storage_2022,battery_li,pr266,0.303984991,2009,1.215939965
PR100_DST_2022_pr271,pr100_distributed_storage_2022,battery_li,pr271,0.5376445554666666,2009,2.150578222444444
PR100_DST_2022_pr275,pr100_distributed_storage_2022,battery_li,pr275,0.3313775,2009,1.325509998
PR100_DST_2022_pr280,pr100_distributed_storage_2022,battery_li,pr280,0.2115139989112904,2009,0.8460559957419358
PR100_DST_2022_pr281,pr100_distributed_storage_2022,battery_li,pr281,0.4544459375,2009,1.81778375025
PR100_DST_2022_pr296,pr100_distributed_storage_2022,battery_li,pr296,4.2025839431000005,2009,16.81033576795
PR100_DST_2022_pr310,pr100_distributed_storage_2022,battery_li,pr310,1.4434512235,2009,5.7738048935
PR100_DST_2022_pr313,pr100_distributed_storage_2022,battery_li,pr313,12.461062716882353,2009,49.845151855
PR100_DST_2022_pr319,pr100_distributed_storage_2022,battery_li,pr319,0.0896846427142857,2009,0.3587385714285714
PR100_DST_2022_pr321,pr100_distributed_storage_2022,battery_li,pr321,0.2489624094090909,2009,0.9958496374090908
PR100_DST_2022_pr335,pr100_distributed_storage_2022,battery_li,pr335,3.0549512908333334,2009,12.219805155770834
PR100_DST_2022_pr343,pr100_distributed_storage_2022,battery_li,pr343,0.1278973711818182,2009,0.5115894845454546
PR100_DST_2022_pr352,pr100_distributed_storage_2022,battery_li,pr352,0.192996718875,2009,0.7719868759999999
PR100_DST_2022_pr353,pr100_distributed_storage_2022,battery_li,pr353,0.7061175000000001,2009,2.8244700000000003
PR100_DST_2022_pr378,pr100_distributed_storage_2022,battery_li,pr378,4.967445591058823,2009,19.869782366535944
PR100_DST_2022_pr392,pr100_distributed_storage_2022,battery_li,pr392,2.326653988024194,2009,9.306615953161293
PR100_DST_2022_pr400,pr100_distributed_storage_2022,battery_li,pr400,0.64418875,2009,2.5767550005
PR100_DST_2022_pr428,pr100_distributed_storage_2022,battery_li,pr428,0.0971393306086956,2009,0.3885573223913044
PR100_DST_2022_pr440,pr100_distributed_storage_2022,battery_li,pr440,0.39566578125,2009,1.58266312453125
PR100_DST_2022_pr442,pr100_distributed_storage_2022,battery_li,pr442,0.1209913098235294,2009,0.4839652395294117
PR100_DST_2022_pr452,pr100_distributed_storage_2022,battery_li,pr452,0.1209913098235294,2009,0.4839652395294117
PR100_DST_2022_pr480,pr100_distributed_storage_2022,battery_li,pr480,0.4544459375,2009,1.81778375025
PR100_DST_2022_pr489,pr100_distributed_storage_2022,battery_li,pr489,0.0896846427142857,2009,0.3587385714285714
PR100_DST_2022_pr492,pr100_distributed_storage_2022,battery_li,pr492,0.2844810294117647,2009,1.1379241175294117
PR100_DST_2022_pr545,pr100_distributed_storage_2022,battery_li,pr545,0.4214365964137931,2009,1.6857463855172412
PR100_DST_2022_pr555,pr100_distributed_storage_2022,battery_li,pr555,1.156990917,2009,4.627963674
PR100_DST_2022_pr583,pr100_distributed_storage_2022,battery_li,pr583,0.6450277248709677,2009,2.5801108992580644
PR100_DST_2022_pr632,pr100_distributed_storage_2022,battery_li,pr632,1.057569994556452,2009,4.23027997870968
PR100_DST_2022_pr902,pr100_distributed_storage_2022,battery_li,pr902,0.13188859375,2009,0.52755437484375
PR100_DST_2022_pr1025,pr100_distributed_storage_2022,battery_li,pr1025,0.1456340701666666,2009,0.5825362805
PR100_DST_2022_pr1040,pr100_distributed_storage_2022,battery_li,pr1040,0.2107182982068965,2009,0.8428731927586206
PR100_DST_2022_pr1206,pr100_distributed_storage_2022,battery_li,pr1206,1.260789053857143,2009,5.043156214571428
PR100_DST_2022_pr97047,pr100_distributed_storage_2022,battery_li,pr97047,0.1251963461538462,2009,0.500785384615385
TRANCHE1_AJ-1-P,committed_tranche1_solar,upv,pr41,25.0,2025,
