municipality_key,year,pv_mw,storage_mw,storage_mwh
cidra,2030,8.038917112,2.9063849179999997,11.62553967
cidra,2035,9.647663098499999,4.0434660529999995,16.1738642095
cidra,2040,11.428831241000001,5.827839386,23.311357543
cidra,2045,17.078439561,7.8864490235,31.545796090499998
cidra,2050,21.675986699000003,9.54117578,38.164703119
coamo,2022,4.559174778,1.9568775,7.827510000999999
coamo,2025,5.633879939,2.3681917725000003,9.472800750000001
coamo,2028,7.227955046,2.585084732,10.340338947
coamo,2030,8.167205934,2.804951251,11.219786828
coamo,2035,9.8249574865,3.60092109,14.4036828445
coamo,2040,11.660383514,4.918924459,19.675737693
coamo,2045,17.482090018999997,6.460896958999999,25.8435914065
coamo,2050,22.219687475,7.705321518,30.821285908
comerio,2022,0.711428983,0.3313775,1.325509998
comerio,2025,2.113054192,0.815691229,3.26291107
comerio,2028,2.698809044,0.9185162920000001,3.673917007
comerio,2030,3.043943828,1.0257871490000001,4.103156428
comerio,2035,3.6530970700000003,1.410952142,5.643717556
comerio,2040,4.327538129000001,2.040402256,8.161616738
comerio,2045,6.4667678475,2.77441504,11.097660157
comerio,2050,8.207633569999999,3.36622984,13.464919366
corozal,2022,0.0,1.2883775,5.153510001
corozal,2025,4.269661470999999,1.640692279,6.562769117
corozal,2028,5.453244429,1.841986866,7.367947462
corozal,2030,6.150627719999999,2.042797448,8.171189793
corozal,2035,7.381489728,2.77322743,11.092909718000001
corozal,2040,8.744273049,3.991211616,15.964846459
corozal,2045,13.0668250855,5.418672169500001,21.674688676000002
corozal,2050,16.584438278,6.5712553719999995,26.285021481999998
culebra,2022,0.0,0.063104767556,0.25241906542
culebra,2025,0.55744593176,0.2160115232815,0.864046095625
culebra,2028,0.71197422636,0.24379807588000002,0.97519230951
culebra,2030,0.80302441253,0.27382868131,1.09531472823
culebra,2035,0.96372544781,0.380566719865,1.522266878485
culebra,2040,1.14165009614,0.5524235667599999,2.209694269
culebra,2045,1.7060014088800002,0.7520461733349999,3.0081846913500003
culebra,2050,2.1652601036,0.91281892731,3.6512757022
dorado,2022,17.087000009,3.053175001,12.2127
dorado,2025,18.1009614295,3.8740635305,15.496254124
dorado,2028,20.09245383,4.373187494,17.492749975000002
dorado,2030,21.265868431,4.9139686739999995,19.655874694
dorado,2035,23.3369123905,6.834728394000001,27.338913570000003
dorado,2040,25.629926666,9.923930374,39.695721495
dorado,2045,32.903037065999996,13.511211920000001,54.044847673999996
dorado,2050,38.821760285,16.400113388,65.600453552
fajardo,2022,9.443,1.713095,6.85238
fajardo,2025,11.3057573855,2.954201446,11.816805782500001
fajardo,2028,12.693793385,3.371461339,13.485845355
fajardo,2030,14.495531814,3.886338566,15.545354262
fajardo,2035,18.0265742585,5.6526558475,22.610623384999997
fajardo,2040,19.739911124000002,8.336459857,33.345839438
fajardo,2045,25.029277323,11.405396463499999,45.621585849999995
fajardo,2050,29.083789571,13.865879904,55.46351961
florida,2022,0.0,0.42680897700000003,1.7072359110000002
florida,2025,1.521814991,0.5833735959999999,2.333494382
florida,2028,1.943673798,0.653942335,2.615769335
florida,2030,2.1922387839999997,0.722533742,2.890134973
florida,2035,2.630949035,0.9739807665,3.8959230645
florida,2040,3.116679368,1.398059314,5.592237251
florida,2045,4.6573458919999995,1.896474657,7.5858986265
florida,2050,5.911111916,2.299233725,9.196934904999999
guanica,2022,0.0,0.5387325,2.154930001
guanica,2025,1.938218616,0.7446974585,2.9787898335
guanica,2028,2.475507706,0.835994394,3.343977572
guanica,2030,2.792085796,0.926947462,3.707789847
guanica,2035,3.3508372755,1.257915147,5.0316605855
guanica,2040,3.969474611,1.810129954,7.240519816
guanica,2045,5.931702972,2.4574144264999997,9.829657705999999
guanica,2050,7.528528255000001,2.9800773329999997,11.920309338
guayama,2022,11.048100482,5.477173007,21.908692023
guayama,2025,13.6931981795,6.3476576675,25.3906306695
guayama,2028,15.475658258,6.731814079,26.927256306
guayama,2030,16.525908151,7.363650971,29.454603884
guayama,2035,18.379569849,9.3934298605,37.573719439
guayama,2040,20.431903272,12.118843584,48.47537434
guayama,2045,26.9416087495,15.1202884795,60.4811539155
guayama,2050,32.239087101,17.499682513,69.998730045
