i,country,t_start_construction,safe_harbor,t_max_online,ptc_value,ptc_perc_bonus,ptc_dur,ptc_tax_equity_penalty,itc_frac,itc_energy_comm_bonus,itc_percpt_domestic_bonus,itc_tax_equity_penalty,co2_capture_value,co2_capture_dur,co2_capture_tax_equity_penalty,h2_ptc_value,h2_ptc_dur,h2_ptc_tax_equity_penalty
BATTERY,usa,2019,0,2019,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
BATTERY,usa,2020,0,2020,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
BATTERY,usa,2021,0,2021,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
BATTERY,usa,2022,0,2022,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
BATTERY,usa,2023,0,2023,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
BATTERY,usa,2024,0,2024,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
BATTERY,usa,2025,0,2025,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
BATTERY,usa,2026,0,2026,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
BATTERY,usa,2027,0,2027,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
BATTERY,usa,2028,0,2028,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
BATTERY,usa,2029,0,2029,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
BATTERY,usa,2030,0,2030,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
BATTERY,usa,2031,0,2031,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
BATTERY,usa,2032,0,2032,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
BATTERY,usa,2033,0,2033,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
BATTERY,usa,2034,0,2034,0.0,0.0,0,0.0,0.15,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
BATTERY,usa,2035,0,2035,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
BATTERY,usa,2036,0,2036,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
BATTERY,usa,2037,0,2037,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
BATTERY,usa,2038,0,2038,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
BATTERY,usa,2039,0,2039,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
