tech,sc_point_gid,region,class,capacity_mw
upv,1402,pr296,3,29.309
upv,1404,pr106,2,48.14600000000001
upv,1405,pr106,2,131.782
upv,1406,pr106,3,71.862
upv,1408,pr321,3,15.96
upv,1417,pr184,1,20.349
upv,1419,pr1025,4,7.896000000000001
upv,1420,pr1025,4,48.692
upv,1458,pr23,4,28.385
upv,1459,pr96,4,10.185
upv,1461,pr96,4,6.405
upv,1464,pr96,5,7.938
upv,1465,pr96,5,11.277
upv,1466,pr363,4,44.247
upv,1471,pr363,4,6.195
upv,1472,pr363,4,87.325
upv,1473,pr1800,4,32.893
upv,1474,pr1800,5,6.118
upv,1475,pr1800,5,18.522
upv,1476,pr296,4,56.798
upv,1477,pr296,4,92.33
upv,1478,pr296,4,38.066
upv,1479,pr106,4,258.86
upv,1480,pr106,4,373.051
upv,1481,pr106,3,64.015
upv,1482,pr106,4,87.08
upv,1483,pr106,4,35.686
upv,1486,pr321,3,13.804
upv,1487,pr321,3,9.079
upv,1488,pr321,3,18.102
upv,1489,pr334,3,33.831
upv,1493,pr184,2,6.342
upv,1495,pr184,4,9.751
upv,1496,pr1025,4,5.096
upv,1531,pr23,5,64.74300000000001
upv,1532,pr23,5,60.508
upv,1540,pr319,4,6.4190000000000005
upv,1551,pr1800,5,8.204
upv,1555,pr106,4,32.375
upv,1556,pr106,4,27.454
upv,1557,pr106,4,18.599
upv,1558,pr106,5,68.089
upv,1559,pr106,5,64.001
upv,1560,pr321,5,126.336
upv,1561,pr321,5,72.688
upv,1562,pr321,5,26.46
upv,1563,pr321,4,44.716
upv,1568,pr334,3,11.802
upv,1569,pr184,3,14.826
upv,1620,pr363,5,11.396
upv,1628,pr1800,5,11.865
upv,1632,pr106,5,8.757000000000001
upv,1633,pr106,5,17.465
upv,1634,pr106,5,46.193000000000005
upv,1637,pr321,5,30.128
upv,1639,pr321,5,23.128
wind-ons,1,pr352,10,11.757
wind-ons,2,pr352,10,38.8368
wind-ons,3,pr352,9,24.3996
wind-ons,4,pr352,8,19.7241
wind-ons,5,pr335,7,17.2302
wind-ons,8,pr440,5,9.0012
wind-ons,12,pr93,5,11.253
wind-ons,28,pr32,8,7.575900000000001
wind-ons,29,pr352,5,25.594800000000003
wind-ons,30,pr352,9,23.635800000000003
wind-ons,31,pr352,9,15.9099
wind-ons,32,pr335,8,8.4906
wind-ons,33,pr335,5,12.7632
wind-ons,35,pr167,6,13.497000000000002
wind-ons,37,pr196,3,8.8209
wind-ons,38,pr196,2,12.4785
wind-ons,39,pr93,1,27.186000000000003
wind-ons,40,pr492,1,8.008500000000002
wind-ons,44,pr120,2,7.8384
wind-ons,45,pr82,4,5.7087
wind-ons,46,pr211,6,5.554200000000001
wind-ons,54,pr232,6,22.5951
wind-ons,55,pr231,4,26.3742
wind-ons,56,pr232,1,20.7156
wind-ons,57,pr35,3,28.460100000000004
wind-ons,58,pr35,8,14.142
wind-ons,59,pr335,7,20.4447
wind-ons,60,pr902,5,12.026700000000002
wind-ons,64,pr177,1,9.2763
wind-ons,65,pr555,3,21.4734
wind-ons,66,pr400,2,27.881400000000003
wind-ons,67,pr310,1,13.6191
wind-ons,68,pr99,3,14.757
wind-ons,69,pr280,2,11.8011
wind-ons,70,pr480,3,17.4756
wind-ons,71,pr956,3,44.5572
wind-ons,72,pr956,5,22.4604
wind-ons,73,pr211,6,11.9571
wind-ons,74,pr18,4,8.319300000000002
wind-ons,75,pr18,5,5.861700000000001
wind-ons,82,pr232,3,11.7411
wind-ons,83,pr232,4,9.7623
wind-ons,86,pr902,8,7.7712
wind-ons,87,pr1110,3,5.6958
wind-ons,88,pr1110,1,9.816
wind-ons,92,pr555,9,8.3001
wind-ons,93,pr353,8,9.7125
wind-ons,94,pr275,4,7.4877
wind-ons,95,pr451,5,9.8091
wind-ons,96,pr451,1,8.452200000000001
wind-ons,97,pr956,1,12.1281
wind-ons,98,pr956,2,20.1474
wind-ons,101,pr101,4,17.425200000000004
wind-ons,102,pr101,4,7.038
wind-ons,109,pr232,2,7.8648
wind-ons,110,pr232,4,11.1264
wind-ons,116,pr266,8,9.2784
wind-ons,119,pr353,10,9.9177
wind-ons,120,pr353,8,12.1896
wind-ons,121,pr275,1,10.3023
wind-ons,122,pr451,6,19.6443
wind-ons,123,pr451,1,19.1703
wind-ons,124,pr21,1,23.1531
wind-ons,125,pr234,2,35.1906
wind-ons,126,pr233,4,19.0347
wind-ons,136,pr116,2,21.3828
wind-ons,137,pr116,5,19.5504
wind-ons,138,pr169,10,12.8874
wind-ons,144,pr1079,6,8.689800000000002
wind-ons,145,pr213,7,11.9712
wind-ons,146,pr296,8,12.8958
wind-ons,147,pr353,10,23.8113
wind-ons,148,pr10,7,8.8557
wind-ons,149,pr10,6,10.8126
wind-ons,150,pr10,9,8.4261
wind-ons,151,pr334,1,11.9217
wind-ons,152,pr233,4,14.622000000000002
wind-ons,153,pr233,4,28.921800000000005
wind-ons,157,pr101,7,10.2819
wind-ons,158,pr101,8,17.5077
wind-ons,163,pr116,6,31.7964
wind-ons,164,pr169,7,21.2298
wind-ons,165,pr169,7,16.2021
wind-ons,166,pr23,9,12.1353
wind-ons,167,pr96,9,22.7823
wind-ons,168,pr96,10,15.9114
wind-ons,169,pr96,6,20.0967
wind-ons,170,pr363,5,15.6021
wind-ons,171,pr1078,5,17.8992
wind-ons,172,pr1079,7,28.8855
wind-ons,173,pr296,7,24.362700000000004
wind-ons,174,pr296,8,35.9373
wind-ons,175,pr106,9,31.831200000000003
wind-ons,176,pr321,10,8.712000000000002
wind-ons,177,pr321,10,7.3503
wind-ons,179,pr184,5,5.1528
wind-ons,180,pr1025,4,10.5903
wind-ons,193,pr23,9,6.920100000000001
wind-ons,201,pr106,6,16.064700000000002
wind-ons,202,pr106,9,13.3032
wind-ons,203,pr321,10,23.3406
wind-ons,204,pr321,10,7.3239
wind-ofs,188,pr18,3,59.7294
wind-ofs,197,pr32,2,537.1271999999999
wind-ofs,198,pr32,3,144.34199999999998
wind-ofs,200,pr32,4,177.5358
wind-ofs,201,pr97021,4,377.622
wind-ofs,202,pr100,4,340.8561
wind-ofs,203,pr100,4,204.2901
wind-ofs,204,pr441,4,146.7477
wind-ofs,205,pr440,5,68.3802
wind-ofs,206,pr442,5,44.9064
wind-ofs,208,pr63,4,98.901
wind-ofs,209,pr63,4,110.6379
wind-ofs,210,pr86,3,84.3453
wind-ofs,211,pr84,3,107.0901
wind-ofs,212,pr211,3,173.06459999999998
wind-ofs,213,pr18,3,134.136
wind-ofs,214,pr18,3,170.4888
wind-ofs,215,pr18,3,411.885
wind-ofs,216,pr18,3,539.3870999999999
wind-ofs,217,pr18,4,590.4657
wind-ofs,225,pr32,2,567.2106
wind-ofs,226,pr32,2,393.0282
wind-ofs,228,pr32,4,98.415
wind-ofs,229,pr32,4,530.1044999999999
wind-ofs,230,pr100,4,376.9173
wind-ofs,231,pr100,4,507.0681
wind-ofs,232,pr335,4,528.6221999999999
wind-ofs,233,pr440,4,539.0955
wind-ofs,234,pr442,4,285.01469999999995
wind-ofs,235,pr97064,3,84.58829999999999
wind-ofs,236,pr93,4,315.657
wind-ofs,237,pr63,4,5.5647
wind-ofs,238,pr86,3,314.9037
wind-ofs,239,pr82,3,477.2034
wind-ofs,240,pr211,3,223.0254
wind-ofs,241,pr18,3,344.28239999999994
wind-ofs,242,pr18,3,560.358
wind-ofs,243,pr18,3,578.2671
wind-ofs,244,pr18,3,560.9168999999999
wind-ofs,245,pr18,4,567.0647999999999
wind-ofs,253,pr32,2,579.1904999999999
wind-ofs,254,pr32,2,575.5698
wind-ofs,255,pr32,2,463.8626999999999
wind-ofs,256,pr32,2,472.7808
wind-ofs,257,pr32,3,315.5598
