region,asset_type,reeds_tech_candidate,fuel,prime_mover,available,asset_count,capacity_mw,active_power_mw
pr2,RenewableFix,dupv,,PVe,True,16,16.429308852521174,16.429308852521174
pr2,StandardLoad,load,,,False,16,43.339000000000006,43.339000000000006
pr2,StandardLoad,load,,,True,16,50.75868537031932,40.28054160212101
pr2,ThermalStandard,o-g-s,DISTILLATE_FUEL_OIL,GT,False,2,41.99999999999999,0.0
pr2,ThermalStandard,o-g-s,OTHER,ST,False,2,100.00000000000001,0.0
pr2,ThermalStandard,o-g-s,RESIDUAL_FUEL_OIL,ST,False,2,170.0,0.0
pr2002,RenewableDispatch,wind-ons,,WT,True,1,27.0,3.9999999999999996
pr204,GenericBattery,battery_4,,BA,True,2,143.3085614100411,143.3085614100411
pr21,RenewableFix,dupv,,PVe,True,32,65.63443617977664,65.63443617977664
pr21,StandardLoad,load,,,False,33,92.54200000000002,92.54200000000002
pr21,StandardLoad,load,,,True,32,155.2642817798388,122.40608462633865
pr211,RenewableFix,dupv,,PVe,True,7,17.20364653893509,17.20364653893509
pr211,StandardLoad,load,,,False,7,54.525,54.525
pr211,StandardLoad,load,,,True,7,31.42231496666666,24.86218649011111
pr213,HydroDispatch,hydED,,HY,False,2,11.4,4.447
pr213,RenewableFix,dupv,,PVe,True,8,12.66435762,12.66435762
pr213,StandardLoad,load,,,False,8,7.664,7.664
pr213,StandardLoad,load,,,True,8,17.437866292499997,13.970130326500001
pr23,RenewableFix,dupv,,PVe,True,1,4.19752519574133,4.19752519574133
pr23,StandardLoad,load,,,False,1,6.583,6.583
pr23,StandardLoad,load,,,True,1,5.39499724,4.272411096
pr231,RenewableFix,dupv,,PVe,True,10,10.745211855826955,10.745211855826955
pr231,StandardLoad,load,,,False,10,16.796,16.796
pr231,StandardLoad,load,,,True,10,36.90586954289855,29.181393337333333
pr233,RenewableFix,dupv,,PVe,True,1,4.82025333,4.82025333
pr233,StandardLoad,load,,,False,1,20.0,20.0
pr233,StandardLoad,load,,,True,1,2.659779135769231,2.0889401965384615
pr234,RenewableFix,dupv,,PVe,True,33,45.271199621860895,45.271199621860895
pr234,StandardLoad,load,,,False,33,81.65300000000002,81.65300000000002
